position,name,link,image,min_price
1,OP05-JP Monkey.D.Luffy (ST01-012) (V.2),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/MonkeyDLuffy-ST01-012-V2,https://product-images.s3.cardmarket.com/1621/OP05-JP/733465/733465.png,"2.500,00 €"
2,OP05-JP Monkey.D.Luffy (OP05-119) (V.3),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/MonkeyDLuffy-OP05-119-V3,https://product-images.s3.cardmarket.com/1621/OP05-JP/733463/733463.png,"1.900,00 €"
3,"OP05-JP Eustass""Captain""Kid (OP05-074) (V.3)",https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/EustassCaptainKid-OP05-074-V3,https://product-images.s3.cardmarket.com/1621/OP05-JP/733384/733384.png,"399,00 €"
4,OP05-JP Trafalgar Law (OP05-069) (V.3),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Trafalgar-Law-OP05-069-V3,https://product-images.s3.cardmarket.com/1621/OP05-JP/733377/733377.png,"325,00 €"
5,OP05-JP Nami (OP01-016),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Nami-OP01-016,https://product-images.s3.cardmarket.com/1621/OP05-JP/733268/733268.png,"119,99 €"
6,OP05-JP Enel (OP05-100) (V.3),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Enel-OP05-100-V3,https://product-images.s3.cardmarket.com/1621/OP05-JP/733440/733440.png,"69,00 €"
7,OP05-JP Uta (OP02-120),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Uta-OP02-120,https://product-images.s3.cardmarket.com/1621/OP05-JP/733270/733270.png,"60,00 €"
8,OP05-JP Monkey.D.Luffy (OP05-119) (V.2),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/MonkeyDLuffy-OP05-119-V2,https://product-images.s3.cardmarket.com/1621/OP05-JP/733462/733462.png,"60,00 €"
9,OP05-JP Yamato (OP01-121),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Yamato-OP01-121,https://www.cardmarket.com/img/transparent.gif,"58,99 €"
10,OP05-JP Kaido (OP04-044),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Kaido-OP04-044,https://www.cardmarket.com/img/transparent.gif,"38,00 €"
11,OP05-JP Rob Lucci (OP03-092),https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Rob-Lucci-OP03-092,https://www.cardmarket.com/img/transparent.gif,"22,65 €"
